YEAR,REGION,SPECIES_CD,density,var,n,nm,N,NM,protected_status
1999,FLA KEYS,ABU SAXA,1.757605465453521,0.45202156161427404,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ACA ASPE,0.003623239946201267,7.234687214327785e-6,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ACA BAHI,2.4246563368122627,0.04005372601862246,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ACA CHAP,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ACA CHIR,1.8314252517773029,0.05585385433902008,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ACA COER,1.9958384232562598,0.03286261670233927,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ACA MARI,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ACA POLY,0.004455063487147724,7.789280964811788e-6,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ACA QUAD,0.03894118958958815,0.00011607960722589564,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ACA SOLA,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ACA SPE.,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ACA SPIN,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,AET NARI,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,AHL EGMO,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ALB VULP,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ALE CILI,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ALP AFER,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ALU MONO,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ALU SCHO,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ALU SCRI,0.018387368098352435,7.611497204674144e-5,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ALU SPE.,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,AMB PINO,0.002397135607678223,5.7344440145430424e-6,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ANC LYOL,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ANI SURI,0.029548825610014505,4.923589886112582e-4,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ANI VIRG,0.9384798100504788,0.012228236155342034,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ANT OCEL,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,APO AURO,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,APO BINO,0.002397135607678223,5.759747761740543e-6,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,APO MACU,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,APO PHEN,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,APO PSEU,0.0015980904051188154,2.55426483917413e-6,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,APO QUAD,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,APO TOWN,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ARC PROB,0.0030244005802676404,9.144243484138926e-6,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ARC RHOM,0.0140848016603913,1.4955108983480682e-4,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,AST GUTT,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,AST PUNC,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,AST SPE.,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,AST STEL,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ATH STIP,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,AUL MACU,0.0350656083393822,1.2358033360604744e-4,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,BAL CAPR,0.03551075432982166,2.1535639774500549e-4,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,BAL SPE.,0.0,0.0,104,279,16145.0,3654480.4355109693,0
