YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
1999,FLA KEYS,CRY ROSE,821444.8048551715,50510480511.41612,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,NIC USTA,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,SCA COEL,485545.0831484828,32976790518.412186,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,SCA COER,490475.52761616826,11983824726.77055,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,SCA GUAC,507962.0751252973,29797104564.701927,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,SCA ISER,21570116.935128797,3541580147528.928,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,SCA SPE.,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,SCA TAEN,521256.21871538373,27250186425.506607,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,SCA VETU,221133.45559285214,3282046338.9108777,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,SPA ATOM,1427647.250022344,70609249388.6927,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,SPA AURO,10960026.764819553,826340385914.2354,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,SPA CHRY,2460922.419769621,263256663472.3458,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,SPA RADI,45152.102233393816,684309089.0514984,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,SPA RUBR,792243.5621862151,40644251704.25458,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,SPA SPE.,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,SPA VIRI,3973178.663277907,288543282771.80365,104,279,16145.0,3654480.4355109693,0
2000,FLA KEYS,CRY ROSE,850567.0403439318,35162394047.873024,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,NIC USTA,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,SCA COEL,414443.00555593584,26022723043.68624,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,SCA COER,569712.862113182,14019269484.368773,152,344,16145.0,3654480.4355109693,0
